"コード","大学名","学部名","学科名"
"005506013130","宮城教育大学","教育","中等/国語-後期"
"005506013210","宮城教育大学","教育","中等/数学-前期"
"005506013230","宮城教育大学","教育","中等/数学-後期"
"005506013310","宮城教育大学","教育","中等/理科-前期"
"005506013330","宮城教育大学","教育","中等/理科-後期"
"005506013410","宮城教育大学","教育","中等/社会-前期"
"005506013430","宮城教育大学","教育","中等/社会-後期"
"005506013510","宮城教育大学","教育","中等/技術-前期"
"005506013610","宮城教育大学","教育","中等/家庭-前期"
"005506013710","宮城教育大学","教育","中等/音楽-前期"
"005506013810","宮城教育大学","教育","中等/美術-前期"
"005506013910","宮城教育大学","教育","中等/保健体育-前期"
"005506014110","宮城教育大学","教育","初等/発達･教育系/幼児教育-前期"
"005506014130","宮城教育大学","教育","初等/発達･教育系/幼児教育-後期"
"005506014210","宮城教育大学","教育","初等/発達･教育系/子ども文化-前期"
"005506014230","宮城教育大学","教育","初等/発達･教育系/子ども文化-後期"
"005506014310","宮城教育大学","教育","初等/発達･教育系/教育学-前期"
"005506014330","宮城教育大学","教育","初等/発達･教育系/教育学-後期"
"005506014410","宮城教育大学","教育","初等/発達･教育系/教育心理学-前期"
"005506014430","宮城教育大学","教育","初等/発達･教育系/教育心理学-後期"
"005506014510","宮城教育大学","教育","初等/言語･社会系/国語-前期"
"005506014530","宮城教育大学","教育","初等/言語･社会系/国語-後期"
"005506014610","宮城教育大学","教育","初等/言語･社会系/社会-前期"
"005506014630","宮城教育大学","教育","初等/言語･社会系/社会-後期"
"005506014710","宮城教育大学","教育","初等/言語･社会系/英語コミュニケ-前期"
"005506014730","宮城教育大学","教育","初等/言語･社会系/英語コミュニケ-後期"
"005506014810","宮城教育大学","教育","初等/理数･生活系/数学-前期"
"005506014830","宮城教育大学","教育","初等/理数･生活系/数学-後期"
"005506014910","宮城教育大学","教育","初等/理数･生活系/理科-前期"
"005506014930","宮城教育大学","教育","初等/理数･生活系/理科-後期"
"005506015010","宮城教育大学","教育","初等/理数･生活/情報・ものづくり-前期"
"005506015030","宮城教育大学","教育","初等/理数･生活/情報・ものづくり-後期"
"005506015110","宮城教育大学","教育","初等/理数･生活系/家庭科-前期"
"005506015130","宮城教育大学","教育","初等/理数･生活系/家庭科-後期"
"005506015210","宮城教育大学","教育","初等/芸術･体育系/音楽-前期"
"005506015230","宮城教育大学","教育","初等/芸術･体育系/音楽-後期"
"005506015310","宮城教育大学","教育","初等/芸術･体育系/美術-前期"
"005506015330","宮城教育大学","教育","初等/芸術･体育系/美術-後期"
"005506015410","宮城教育大学","教育","初等/芸術･体育系/体育・健康-前期"
"005506015430","宮城教育大学","教育","初等/芸術･体育系/体育・健康-後期"
"005506015511","宮城教育大学","教育","特別/視覚障害教育-Ⅰ型前期"
"005506015512","宮城教育大学","教育","特別/視覚障害教育-Ⅱ型前期"
"005506015611","宮城教育大学","教育","特別/聴覚･言語障害教育-Ⅰ型前期"
"005506015612","宮城教育大学","教育","特別/聴覚･言語障害教育-Ⅱ型前期"
"005506015711","宮城教育大学","教育","特別/発達障害教育-Ⅰ型前期"
"005506015712","宮城教育大学","教育","特別/発達障害教育-Ⅱ型前期"
"005506015811","宮城教育大学","教育","特別/健康･運動障害教育-Ⅰ型前期"
"005506015812","宮城教育大学","教育","特別/健康･運動障害教育-Ⅱ型前期"
"006006060110","秋田大学","教育文化","学校/教科教育実践(教科選択)-前期"
"006006060210","秋田大学","教育文化","学校/教科教育実践(音楽選択)-前期"
"006006060230","秋田大学","教育文化","学校/教科教育実践(音楽選択)-後期"
"006006060310","秋田大学","教育文化","学校/教科教育実践(美術選択)-前期"
"006006060330","秋田大学","教育文化","学校/教科教育実践(美術選択)-後期"
"006006060410","秋田大学","教育文化","学校/教科教育実践(体育選択)-前期"
"006006060430","秋田大学","教育文化","学校/教科教育実践(体育選択)-後期"
"006006060530","秋田大学","教育文化","学校/教科教育実践(小論文選択)-後期"
"006006060610","秋田大学","教育文化","学校/障害児教育-前期"
"006006060630","秋田大学","教育文化","学校/障害児教育-後期"
"006006060710","秋田大学","教育文化","学校/発達科学-前期"
"006006060730","秋田大学","教育文化","学校/発達科学-後期"
"006006060810","秋田大学","教育文化","国際言語文化-前期"
"006006060830","秋田大学","教育文化","国際言語文化-後期"
"006006060910","秋田大学","教育文化","人間環境-前期"
"006006060930","秋田大学","教育文化","人間環境-後期"
"006006061010","秋田大学","教育文化","地域科学-前期"
"006006061030","秋田大学","教育文化","地域科学-後期"
"006011580110","秋田大学","工学資源","機械工-前期"
"006011580130","秋田大学","工学資源","機械工-後期"
"006011580210","秋田大学","工学資源","電気電子工-前期"
"006011580230","秋田大学","工学資源","電気電子工-後期"
"006011580310","秋田大学","工学資源","情報工-前期"
"006011580330","秋田大学","工学資源","情報工-後期"
"006011580410","秋田大学","工学資源","環境応用化学-前期"
"006011580430","秋田大学","工学資源","環境応用化学-後期"
"006011580510","秋田大学","工学資源","土木環境工-前期"
"006011580530","秋田大学","工学資源","土木環境工-後期"
"002516530130","帯広畜産大学","畜産","共同獣医学-後期"
"002516530210","帯広畜産大学","畜産","畜産科学-前期"
"002516530230","帯広畜産大学","畜産","畜産科学-後期"
"003013010110","旭川医科大学","医","医学-前期"
"003013010130","旭川医科大学","医","医学-後期"
"003013010210","旭川医科大学","医","看護-前期"
"003013010230","旭川医科大学","医","看護-後期"
"003511510710","北見工業大学","工","機械・社会環境系-前期"
"003511510730","北見工業大学","工","機械・社会環境系-後期"
"003511510810","北見工業大学","工","情報電気エレクトロニクス系-前期"
"003511510830","北見工業大学","工","情報電気エレクトロニクス系-後期"
"003511510910","北見工業大学","工","バイオ環境・マテリアル系-前期"
"003511510930","北見工業大学","工","バイオ環境・マテリアル系-後期"
"004001110110","弘前大学","人文","人間文化-前期"
"004001110130","弘前大学","人文","人間文化-後期"
"004001110411","弘前大学","人文","経済経営(国語選択)-前期"
"004001110412","弘前大学","人文","経済経営(数学選択)-前期"
"004001110430","弘前大学","人文","経済経営-後期"
"004001110511","弘前大学","人文","現代社会(国語選択)-前期"
"004001110512","弘前大学","人文","現代社会(数学選択)-前期"
"004001110530","弘前大学","人文","現代社会-後期"
"004006010410","弘前大学","教育","養護教諭養成-前期"
"004006010430","弘前大学","教育","養護教諭養成-後期"
"004006010510","弘前大学","教育","生涯/地域生活-前期"
"004006010530","弘前大学","教育","生涯/地域生活-後期"
"004006010610","弘前大学","教育","生涯/健康生活-前期"
"004006010630","弘前大学","教育","生涯/健康生活-後期"
"004006010710","弘前大学","教育","生涯/芸術文化-前期"
"004006010730","弘前大学","教育","生涯/芸術文化-後期"
"004006010810","弘前大学","教育","学校/教育科学-前期"
"004006010830","弘前大学","教育","学校/教育科学-後期"
"004006010910","弘前大学","教育","学校/発達心理-前期"
"004006010930","弘前大学","教育","学校/発達心理-後期"
"004006011010","弘前大学","教育","学校/幼児教育-前期"
"004006011110","弘前大学","教育","教科/国語-前期"
"004006011130","弘前大学","教育","教科/国語-後期"
"004006011210","弘前大学","教育","教科/社会-前期"
"004006011230","弘前大学","教育","教科/社会-後期"
"004006011310","弘前大学","教育","教科/算数･数学-前期"
"004006011410","弘前大学","教育","教科/理科-前期"
"004006011430","弘前大学","教育","教科/理科-後期"
"004006011510","弘前大学","教育","教科/音楽-前期"
"004006011530","弘前大学","教育","教科/音楽-後期"
"004006011610","弘前大学","教育","教科/美術-前期"
"004006011630","弘前大学","教育","教科/美術-後期"
"004006011710","弘前大学","教育","教科/保健体育-前期"
"004006011810","弘前大学","教育","教科/技術-前期"
"004006011910","弘前大学","教育","教科/家庭-前期"
"004006012010","弘前大学","教育","教科/英語-前期"
"004006012030","弘前大学","教育","教科/英語-後期"
"004006012110","弘前大学","教育","教科/特別支援教育-前期"
"004006012130","弘前大学","教育","教科/特別支援教育-後期"
"004011010110","弘前大学","理工","数理科学-前期"
"004011010130","弘前大学","理工","数理科学-後期"
"004011010210","弘前大学","理工","地球環境-前期"
"004011010230","弘前大学","理工","地球環境-後期"
"004011010310","弘前大学","理工","知能機械工-前期"
"004011010330","弘前大学","理工","知能機械工-後期"
"004011010410","弘前大学","理工","電子情報工-前期"
"004011010430","弘前大学","理工","電子情報工-後期"
"004011010610","弘前大学","理工","物理科学-前期"
"004011010630","弘前大学","理工","物理科学-後期"
"004011010710","弘前大学","理工","物質創成化学-前期"
"004011010730","弘前大学","理工","物質創成化学-後期"
"004013010110","弘前大学","医","医学-前期"
"004013010111","弘前大学","医","医学(定着枠)-前期"
"004013010210","弘前大学","医","保健/看護学-前期"
"004013010230","弘前大学","医","保健/看護学-後期"
"004013010310","弘前大学","医","保健/検査技術科学-前期"
"004013010330","弘前大学","医","保健/検査技術科学-後期"
"004013010410","弘前大学","医","保健/放射線技術科学-前期"
"004013010430","弘前大学","医","保健/放射線技術科学-後期"
"004013010510","弘前大学","医","保健/作業療法学-前期"
"004013010530","弘前大学","医","保健/作業療法学-後期"
"004013010610","弘前大学","医","保健/理学療法学-前期"
"004013010630","弘前大学","医","保健/理学療法学-後期"
"004015530110","弘前大学","農学生命科学","生物-前期"
"004015530130","弘前大学","農学生命科学","生物-後期"
"004015530210","弘前大学","農学生命科学","分子生命科学-前期"
"004015530230","弘前大学","農学生命科学","分子生命科学-後期"
"004015530410","弘前大学","農学生命科学","地域環境工-前期"
"004015530430","弘前大学","農学生命科学","地域環境工-後期"
"004015530510","弘前大学","農学生命科学","生物資源-前期"
"004015530530","弘前大学","農学生命科学","生物資源-後期"
"004015530610","弘前大学","農学生命科学","園芸農-前期"
"004015530630","弘前大学","農学生命科学","園芸農-後期"
"004505220110","岩手大学","人文社会科学","国際文化-前期"
"004505220130","岩手大学","人文社会科学","国際文化-後期"
"004505220210","岩手大学","人文社会科学","人間科学-前期"
"004505220230","岩手大学","人文社会科学","人間科学-後期"
"004505220310","岩手大学","人文社会科学","法学・経済-前期"
"004505220330","岩手大学","人文社会科学","法学・経済-後期"
"004505220410","岩手大学","人文社会科学","環境科学-前期"
"004505220430","岩手大学","人文社会科学","環境科学-後期"
"004506010110","岩手大学","教育","学校/学校教育-前期"
"004506010130","岩手大学","教育","学校/学校教育-後期"
"004506010510","岩手大学","教育","学校/特別支援教育-前期"
"011513210410","東京医科歯科大学","歯","口腔保健/口腔保健工学-前期"
"012001350110","東京外国語大学","言語文化","言語/英語-前期"
"012001350210","東京外国語大学","言語文化","言語/ドイツ語-前期"
"012001350310","東京外国語大学","言語文化","言語/ポーランド語-前期"
"012001350410","東京外国語大学","言語文化","言語/チェコ語-前期"
"012001350510","東京外国語大学","言語文化","言語/フランス語-前期"
"012001350610","東京外国語大学","言語文化","言語/イタリア語-前期"
"012001350710","東京外国語大学","言語文化","言語/スペイン語-前期"
"012001350810","東京外国語大学","言語文化","言語/ポルトガル語-前期"
"012001350910","東京外国語大学","言語文化","言語/ロシア語-前期"
"012001351010","東京外国語大学","言語文化","言語/モンゴル語-前期"
"012001351110","東京外国語大学","言語文化","言語/日本語-前期"
"012001351210","東京外国語大学","言語文化","言語/中国語-前期"
"012001351310","東京外国語大学","言語文化","言語/朝鮮語-前期"
"012001351410","東京外国語大学","言語文化","言語/インドネシア語-前期"
"012001351510","東京外国語大学","言語文化","言語/マレーシア語-前期"
"012001351610","東京外国語大学","言語文化","言語/フィリピン語-前期"
"012001351710","東京外国語大学","言語文化","言語/タイ語-前期"
"012001351810","東京外国語大学","言語文化","言語/ラオス語-前期"
"012001351910","東京外国語大学","言語文化","言語/ベトナム語-前期"
"012001352010","東京外国語大学","言語文化","言語/カンボジア語-前期"
"012001352110","東京外国語大学","言語文化","言語/ビルマ語-前期"
"012001352210","東京外国語大学","言語文化","言語/ウルドゥー語-前期"
"012001352310","東京外国語大学","言語文化","言語/ヒンディー語-前期"
"012001352410","東京外国語大学","言語文化","言語/ベンガル語-前期"
"012001352510","東京外国語大学","言語文化","言語/アラビア語-前期"
"012001352610","東京外国語大学","言語文化","言語/ペルシア語-前期"
"012001352710","東京外国語大学","言語文化","言語/トルコ語-前期"
"012005120110","東京外国語大学","国際社会","国際/北西ヨーロッパ-前期"
"012005120130","東京外国語大学","国際社会","国際/北西ヨーロッパ-後期"
"012005120210","東京外国語大学","国際社会","国際/西南ヨーロッパ第一-前期"
"012005120230","東京外国語大学","国際社会","国際/西南ヨーロッパ第一-後期"
"012005120310","東京外国語大学","国際社会","国際/西南ヨーロッパ第二-前期"
"012005120330","東京外国語大学","国際社会","国際/西南ヨーロッパ第二-後期"
"012005120410","東京外国語大学","国際社会","国際/ロシア-前期"
"012005120430","東京外国語大学","国際社会","国際/ロシア-後期"
"012005120510","東京外国語大学","国際社会","国際/北アメリカ-前期"
"012005120530","東京外国語大学","国際社会","国際/北アメリカ-後期"
"012005120610","東京外国語大学","国際社会","国際/ラテンアメリカ-前期"
"012005120630","東京外国語大学","国際社会","国際/ラテンアメリカ-後期"
"012005120710","東京外国語大学","国際社会","国際/日本-前期"
"012005120810","東京外国語大学","国際社会","国際/東アジア-前期"
"012005120830","東京外国語大学","国際社会","国際/東アジア-後期"
"012005120910","東京外国語大学","国際社会","国際/中央アジア-前期"
"012005121010","東京外国語大学","国際社会","国際/東南アジア第一-前期"
"012005121030","東京外国語大学","国際社会","国際/東南アジア第一-後期"
"012005121110","東京外国語大学","国際社会","国際/東南アジア第二-前期"
"012005121130","東京外国語大学","国際社会","国際/東南アジア第二-後期"
"012005121210","東京外国語大学","国際社会","国際/南アジア-前期"
"012005121230","東京外国語大学","国際社会","国際/南アジア-後期"
"012005121310","東京外国語大学","国際社会","国際/西アジア・北アフリカ-前期"
"012005121330","東京外国語大学","国際社会","国際/西アジア・北アフリカ-後期"
"012005121410","東京外国語大学","国際社会","国際/アフリカ-前期"
"012005121510","東京外国語大学","国際社会","国際/オセアニア-前期"
"012005121610","東京外国語大学","国際社会","国際/中央ヨーロッパ-前期"
"012005121630","東京外国語大学","国際社会","国際/中央ヨーロッパ-後期"
"012506010110","東京学芸大学","教育","初等/幼児教育-前期"
"012506010210","東京学芸大学","教育","初等/学校教育-前期"
"012506010230","東京学芸大学","教育","初等/学校教育-後期"
"012506010310","東京学芸大学","教育","初等/国語-前期"
"012506010330","東京学芸大学","教育","初等/国語-後期"
"012506010410","東京学芸大学","教育","初等/数学-前期"
"012506010430","東京学芸大学","教育","初等/数学-後期"
"012506010510","東京学芸大学","教育","初等/理科-前期"
"012506010530","東京学芸大学","教育","初等/理科-後期"
"012506010610","東京学芸大学","教育","初等/社会-前期"
"012506010630","東京学芸大学","教育","初等/社会-後期"
"012506010710","東京学芸大学","教育","初等/家庭-前期"
"012506010810","東京学芸大学","教育","初等/音楽-前期"
"012506010910","東京学芸大学","教育","初等/美術-前期"
"012506011010","東京学芸大学","教育","初等/保健体育-前期"
"012506011030","東京学芸大学","教育","初等/保健体育-後期"
"012506011110","東京学芸大学","教育","中等/英語-前期"
"012506011210","東京学芸大学","教育","中等/国語-前期"
"012506011230","東京学芸大学","教育","中等/国語-後期"
"012506011310","東京学芸大学","教育","中等/数学-前期"
"012506011330","東京学芸大学","教育","中等/数学-後期"
"012506011410","東京学芸大学","教育","中等/理科-前期"
"012506011430","東京学芸大学","教育","中等/理科-後期"
"012506011510","東京学芸大学","教育","中等/社会-前期"
"012506011530","東京学芸大学","教育","中等/社会-後期"
"012506011610","東京学芸大学","教育","中等/技術-前期"
"012506011710","東京学芸大学","教育","中等/家庭-前期"
"012506011810","東京学芸大学","教育","中等/音楽-前期"
"012506011910","東京学芸大学","教育","中等/美術-前期"
"012506012010","東京学芸大学","教育","中等/保健体育-前期"
"012506012110","東京学芸大学","教育","中等/書道-前期"
"012506012210","東京学芸大学","教育","特別支援教育-前期"
"012506012230","東京学芸大学","教育","特別支援教育-後期"
"012506012310","東京学芸大学","教育","環境/環境教育-前期"
"012506012410","東京学芸大学","教育","環境/自然環境科学-前期"
"012506012430","東京学芸大学","教育","環境/自然環境科学-後期"
"012506012510","東京学芸大学","教育","環境/文化財科学-前期"
"012506012530","東京学芸大学","教育","環境/文化財科学-後期"
"012506012610","東京学芸大学","教育","国際/アジア研究-前期"
"012506012630","東京学芸大学","教育","国際/アジア研究-後期"
"012506012710","東京学芸大学","教育","国際/欧米研究-前期"
"012506012730","東京学芸大学","教育","国際/欧米研究-後期"
"012506012810","東京学芸大学","教育","初等/国際教育-前期"
"012506012910","東京学芸大学","教育","国際/多言語多文化-前期"
"012506013010","東京学芸大学","教育","国際/日本研究-前期"
"012506013030","東京学芸大学","教育","国際/日本研究-後期"
"012506013110","東京学芸大学","教育","初等/日本語教育-前期"
"012506013210","東京学芸大学","教育","情報教育-前期"
"012506013230","東京学芸大学","教育","情報教育-後期"
"012506013310","東京学芸大学","教育","人間/カウンセリング-前期"
"012506013410","東京学芸大学","教育","人間/総合社会システム-前期"
"012506013430","東京学芸大学","教育","人間/総合社会システム-後期"
"012506013510","東京学芸大学","教育","人間/生涯学習-前期"
"012506013530","東京学芸大学","教育","人間/生涯学習-後期"
"012506013610","東京学芸大学","教育","芸術/生涯スポーツ-前期"
"012506013630","東京学芸大学","教育","芸術/生涯スポーツ-後期"
"012506013730","東京学芸大学","教育","芸術/音楽-後期"
"012506013810","東京学芸大学","教育","芸術/美術-前期"
"012506013910","東京学芸大学","教育","芸術/表現コミュニケーション-前期"
